13497,117,CORE CONSULTING,1,Education,MBA,3,,2,,2
13498,117,CORE CONSULTING,1,Education,<OTHER HERE>,3,,2,,2
13499,117,CORE CONSULTING,1,Education,<OTHER HERE>,3,,2,,2
13500,117,CORE CONSULTING,1,Education,<OTHER HERE>,3,,2,,2
13501,117,PROGRAM MANAGEMENT,3,General,PMO,3,,2,,2
13502,117,PROGRAM MANAGEMENT,3,General,Cross functional delivery management,3,,2,,2
13503,117,PROGRAM MANAGEMENT,3,General,Organizational structure definition,3,,2,,2
13504,117,PROGRAM MANAGEMENT,3,General,Process definition and improvement,3,,2,,2
13505,117,PROGRAM MANAGEMENT,3,General,Risk management,3,,2,,2
13506,117,PROGRAM MANAGEMENT,3,General,Communications management,3,,2,,2
13507,117,PROGRAM MANAGEMENT,3,General,Project Management Structure ,3,,2,,2
13508,117,PROGRAM MANAGEMENT,3,General,Program Documentation and Planning,3,,2,,2
13509,117,PROGRAM MANAGEMENT,3,General,Technical Project Management,3,,2,,2
13510,117,PROGRAM MANAGEMENT,3,General,RFP Development and Execution,3,,2,,2
13511,117,PROGRAM MANAGEMENT,3,General,Budget Management ,3,,2,,2
13512,117,PROGRAM MANAGEMENT,3,Execution Experience ,Kanban method,3,,2,,2
13513,117,PROGRAM MANAGEMENT,3,Execution Experience ,Waterfall,3,,2,,2
13514,117,PROGRAM MANAGEMENT,3,Execution Experience ,Water-gile (hybrid),3,,2,,2
13515,117,PROGRAM MANAGEMENT,3,Execution Experience ,Offshore Delivery Model Experience (delivery role),3,,2,,2
13516,117,PROGRAM MANAGEMENT,3,Execution Experience ,Offshore Delivery Model Experience (leadership role),3,,2,,2
13517,117,PROGRAM MANAGEMENT,3,Execution Experience ,<OTHER HERE>,3,,2,,2
13518,117,PROGRAM MANAGEMENT,3,Project Management Suites,VersionOne,3,,2,,2
13519,117,PROGRAM MANAGEMENT,3,Project Management Suites,Microsoft Project,3,,2,,2
13520,117,PROGRAM MANAGEMENT,3,Project Management Suites,JIRA,3,,2,,2
13521,117,PROGRAM MANAGEMENT,3,Certifications,PMP / Project Management Professional,3,,2,,2
13522,117,PROGRAM MANAGEMENT,3,Certifications,PMI - ACP,3,,2,,2
13523,117,PROGRAM MANAGEMENT,3,Certifications,<OTHER HERE>,3,,2,,2
13524,117,PROGRAM MANAGEMENT,3,Certifications,<OTHER HERE>,3,,2,,2
13525,117,Product Management ,1,General Tools ,Rally ,1,4,2,2,2
13526,117,Product Management ,1,General Tools ,Slack,1,4,2,2,2
13527,117,Product Management ,1,General Tools ,Asana,1,1,2,1,2
13528,117,Product Management ,1,General Tools ,Trello ,1,3,2,2,2
13529,117,Product Management ,1,General Tools ,<OTHER HERE>,3,,2,,2
13530,117,Product Management ,1,Certifications ,SAFe Product Manager/Product Owner certification,1,4,1,2,2
13531,117,Product Management ,1,Certifications ,SAFe Agilest,3,,2,,2
13532,117,Product Management ,1,Certifications ,PMI - ACP,1,4,1,2,2
13533,117,Product Management ,1,Certifications ,Certified Scrum Master/Product Owner,1,4,1,2,2
13534,117,Product Management ,1,Certifications ,Certified Scrum Professional,3,,2,,2
13535,117,Product Management ,1,Certifications ,Professional Scrum Master/Product Owner,3,,2,,2
13536,117,Product Management ,1,Certifications ,SAFe Scaled Product Consultant (SPC),1,3,1,2,2
13537,117,Product Management ,1,Certifications ,<OTHER HERE>,3,,2,,2
13538,117,Product Management ,3,General / UX Design,General,1,3,2,3,2
13539,117,Product Management ,3,General / UX Design,General,1,3,2,3,2
13540,117,Product Management ,3,General / UX Design,General,1,1,2,3,2
13541,117,Product Management ,3,General / UX Design,General,1,1,2,3,2
13542,117,Product Management ,3,General / UX Design,General,2,,2,3,2
13543,117,Product Management ,3,General / UX Design,UX Design,1,3,2,3,2
13544,117,Product Management ,3,General / UX Design,UX Design,1,4,2,3,2
13545,117,Product Management ,3,General / UX Design,UX Design,1,4,2,3,2
13546,117,Product Management ,3,General / UX Design,UX Design,1,3,2,3,2
13547,117,Product Management ,3,Strategy & Execution,Product strategy,1,1,2,3,2
13548,117,Product Management ,3,Strategy & Execution,KPI definition,2,,2,3,2
13549,117,Product Management ,3,Strategy & Execution,Requirements definition,1,3,2,3,2
13550,117,Product Management ,3,Strategy & Execution,Requirements prioritization,1,3,2,3,2
13551,117,Product Management ,3,Strategy & Execution,Road-mapping,1,3,2,3,2
13552,117,Product Management ,3,Strategy & Execution,Backlog refinement,1,3,2,3,2
13553,117,Product Management ,3,Strategy & Execution,Business Case Creation and Budget Management,2,,2,3,2
13554,117,DIGITAL ENABLEMENT,4,MarTech,Analytics,3,,2,,2
13555,117,DIGITAL ENABLEMENT,4,MarTech,Content Management Systems,3,,2,,2
13556,117,DIGITAL ENABLEMENT,4,MarTech,A/B & Multi-Variate Testing,3,,2,,2
13557,117,DIGITAL ENABLEMENT,4,MarTech,Personalization & Targeting Engines,3,,2,,2
13558,117,DIGITAL ENABLEMENT,4,MarTech,Digital Asset Management,3,,2,,2
13559,117,DIGITAL ENABLEMENT,4,MarTech,E-Mail / Marketing Automation Platforms,3,,2,,2
13560,117,DIGITAL ENABLEMENT,4,MarTech,Data Management Platforms (DMP),3,,2,,2
13561,117,DIGITAL ENABLEMENT,4,MarTech,Social Marketing Platforms,3,,2,,2
13562,117,DIGITAL ENABLEMENT,4,MarTech,<OTHER HERE>,3,,2,,2
13563,117,DIGITAL ENABLEMENT,4,MarTech,<OTHER HERE>,3,,2,,2
13564,117,DIGITAL ENABLEMENT,4,MarTech,<OTHER HERE>,3,,2,,2
13565,117,DIGITAL ENABLEMENT,4,e-Commerce,Core E-Commerce Platforms,3,,2,,2
13566,117,DIGITAL ENABLEMENT,4,e-Commerce,Subscription Engines,3,,2,,2
13567,117,DIGITAL ENABLEMENT,4,e-Commerce,Product Information Management (PIM),3,,2,,2
13568,117,DIGITAL ENABLEMENT,4,e-Commerce,Search Engine,3,,2,,2
13569,117,DIGITAL ENABLEMENT,4,e-Commerce,<OTHER HERE>,3,,2,,2
13570,117,DIGITAL ENABLEMENT,4,e-Commerce,<OTHER HERE>,3,,2,,2
13571,117,DIGITAL ENABLEMENT,4,e-Commerce,<OTHER HERE>,3,,2,,2
13572,117,DIGITAL ENABLEMENT,4,CRM,CRM,3,,2,,2
13573,117,DIGITAL ENABLEMENT,4,ERP,ERP,3,,2,,2
13574,117,DIGITAL ENABLEMENT,4,Cloud,Cloud,3,,2,,2
13575,117,DIGITAL ENABLEMENT,4,Mobile,Native,3,,2,,2
13576,117,DIGITAL ENABLEMENT,4,Mobile,Hybrid,3,,2,,2
13577,117,DIGITAL ENABLEMENT,2,General,Platform Architecture Design & Definition,3,,2,,2
13578,117,DIGITAL ENABLEMENT,2,General,Platform Evaluation & Selection,3,,2,,2
13579,117,DIGITAL ENABLEMENT,2,General,Enterprise Architecture Design & Definition,3,,2,,2
13580,117,DIGITAL ENABLEMENT,2,General,Buy vs. Build Assessments,3,,2,,2
13581,117,DIGITAL ENABLEMENT,2,General,Functional Architecture Design & Definition,3,,2,,2
13582,117,DIGITAL ENABLEMENT,2,General,Technical Integration Design & Implementation,3,,2,,2
13583,117,DIGITAL ENABLEMENT,2,General,Technical Specification Documentation,3,,2,,2
13584,117,DIGITAL ENABLEMENT,2,General,Java / J2EE Development,3,,2,,2
13585,117,DIGITAL ENABLEMENT,2,General,C# / .Net Development,3,,2,,2
13586,117,DIGITAL ENABLEMENT,2,General,Scripting Technologies (Specify),3,,2,,2
13587,117,DIGITAL ENABLEMENT,2,General,"Mobile App Development (Hybrid/Native, Specify)",3,,2,,2
13588,117,DIGITAL ENABLEMENT,2,General,E-Commerce Catalog Design & Definition,3,,2,,2
13589,117,DIGITAL ENABLEMENT,2,General,End-to-End Testing,3,,2,,2
13590,117,DIGITAL ENABLEMENT,2,General,Performance Testing,3,,2,,2
13591,117,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Percolate (Campaign Planning),3,,2,,2
13592,117,DIGITAL ENGAGEMENT & OPERATIONS,1,DIGITAL ENGAGEMENT & OPERATIONS,Sprinklr (Campaign Planning),3,,2,,2
