id,emp id,core comp,categ,tool_cap,skills,exp,Level,cert,interest,
11016,100,CORE CONSULTING,1,Industry Vertical Experience,PubSec,3,6,2,1 - Develop,2
11017,100,CORE CONSULTING,1,Education,MBA,,,2,,2
11018,100,CORE CONSULTING,1,Education,<OTHER HERE>,,,2,,2
11019,100,CORE CONSULTING,1,Education,<OTHER HERE>,,,2,,2
11020,100,CORE CONSULTING,1,Education,<OTHER HERE>,,,2,,2
11021,100,PROGRAM MANAGEMENT,3,General,PMO,1,10,1,3 - Accelerate,2
11022,100,PROGRAM MANAGEMENT,3,General,Cross functional delivery management,1,9,2,2 - Engage,2
11023,100,PROGRAM MANAGEMENT,3,General,Organizational structure definition,1,8,2,2 - Engage,2
11024,100,PROGRAM MANAGEMENT,3,General,Process definition and improvement,1,8,2,2 - Engage,2
11025,100,PROGRAM MANAGEMENT,3,General,Risk management,1,9,2,2 - Engage,2
11026,100,PROGRAM MANAGEMENT,3,General,Communications management,1,9,2,2 - Engage,2
11027,100,PROGRAM MANAGEMENT,3,General,Project Management Structure ,1,9,2,2 - Engage,2
11028,100,PROGRAM MANAGEMENT,3,General,Program Documentation and Planning,1,9,2,2 - Engage,2
11029,100,PROGRAM MANAGEMENT,3,General,Technical Project Management,1,9,2,2 - Engage,2
11030,100,PROGRAM MANAGEMENT,3,General,RFP Development and Execution,1,9,2,2 - Engage,2
11031,100,PROGRAM MANAGEMENT,3,General,Budget Management ,1,8,2,1 - Develop,2
11032,100,PROGRAM MANAGEMENT,3,Execution Experience ,Kanban method,2,7,2,1 - Develop,2
11033,100,PROGRAM MANAGEMENT,3,Execution Experience ,Waterfall,1,9,2,2 - Engage,2
11034,100,PROGRAM MANAGEMENT,3,Execution Experience ,Water-gile (hybrid),1,10,2,3 - Accelerate,2
11035,100,PROGRAM MANAGEMENT,3,Execution Experience ,Offshore Delivery Model Experience (delivery role),1,9,2,2 - Engage,2
11036,100,PROGRAM MANAGEMENT,3,Execution Experience ,Offshore Delivery Model Experience (leadership role),1,10,2,3 - Accelerate,2
11037,100,PROGRAM MANAGEMENT,3,Execution Experience ,<OTHER HERE>,,,2,,2
11038,100,PROGRAM MANAGEMENT,3,Project Management Suites,VersionOne,3,6,2,1 - Develop,2
11039,100,PROGRAM MANAGEMENT,3,Project Management Suites,Microsoft Project,1,9,2,2 - Engage,2
11040,100,PROGRAM MANAGEMENT,3,Project Management Suites,JIRA,2,6,2,1 - Develop,2
11041,100,PROGRAM MANAGEMENT,3,Certifications,PMP / Project Management Professional,1,10,1,3 - Accelerate,2
11042,100,PROGRAM MANAGEMENT,3,Certifications,PMI - ACP,1,9,2,2 - Engage,2
11043,100,PROGRAM MANAGEMENT,3,Certifications,<OTHER HERE>,,,2,,2
11044,100,PROGRAM MANAGEMENT,3,Certifications,<OTHER HERE>,,,2,,2
11045,100,Product Management ,1,General Tools ,Rally ,3,,2,1 - Develop,2
11046,100,Product Management ,1,General Tools ,Slack,3,,2,1 - Develop,2
11047,100,Product Management ,1,General Tools ,Asana,3,,2,1 - Develop,2
11048,100,Product Management ,1,General Tools ,Trello ,3,,2,1 - Develop,2
11049,100,Product Management ,1,General Tools ,Visual Studio Online,1,9,2,2 - Engage,2
11050,100,Product Management ,1,Certifications ,SAFe Product Manager/Product Owner certification,3,6,2,1 - Develop,2
11051,100,Product Management ,1,Certifications ,SAFe Agilest,3,6,2,1 - Develop,2
11052,100,Product Management ,1,Certifications ,PMI - ACP,1,9,2,2 - Engage,2
11053,100,Product Management ,1,Certifications ,Certified Scrum Master/Product Owner,1,9,2,2 - Engage,2
11054,100,Product Management ,1,Certifications ,Certified Scrum Professional,1,9,2,2 - Engage,2
11055,100,Product Management ,1,Certifications ,Professional Scrum Master/Product Owner,1,9,2,2 - Engage,2
11056,100,Product Management ,1,Certifications ,<OTHER HERE>,,,2,,2
11057,100,Product Management ,1,Certifications ,<OTHER HERE>,,,2,,2
11058,100,Product Management ,3,General / UX Design,General,2,7,2,1 - Develop,2
11059,100,Product Management ,3,General / UX Design,General,3,6,2,1 - Develop,2
11060,100,Product Management ,3,General / UX Design,General,1,9,2,2 - Engage,2
11061,100,Product Management ,3,General / UX Design,General,1,9,2,2 - Engage,2
11062,100,Product Management ,3,General / UX Design,General,1,8,2,2 - Engage,2
11063,100,Product Management ,3,General / UX Design,UX Design,1,8,2,2 - Engage,2
11064,100,Product Management ,3,General / UX Design,UX Design,1,7,2,1 - Develop,2
11065,100,Product Management ,3,General / UX Design,UX Design,2,7,2,1 - Develop,2
